#Observed stellar mass range: 11.4 < log10(M*/Msun) < 11.6
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.223118 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 756
#Bestfit SF galaxies in bin: 181
#Bestfit Q galaxies in bin: 575
#Bestfit central galaxies in bin: 646
#Bestfit satellite galaxies in bin: 110
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0.00240844 0.00567305 0.0023866 0.00661193 -0.00385249 0.00661193 0.00108525 0.00843286 0.00106361 0.000965972 0.00696564 0.000947052 0.0108796 0.000410552 0.0108796 0.000000 0.057873
0.059561 0.0609205 0.097647 0.0587063 0.0208914 0.00163876 0.0208914 0.0735209 0.108048 0.0710614 0.0624205 0.102867 0.060482 0.0521113 0.0202017 0.0517904 0.057873 0.061248
0.062373 0.17522 0.179574 0.165366 0.0215394 0.0186701 0.021183 0.223595 0.185677 0.211573 0.149804 0.196078 0.140425 0.324476 -0.0835141 0.321548 0.061248 0.063498
0.064623 0.224516 0.420384 0.199487 0.0188474 0.077588 0.0164831 0.289257 0.526327 0.259928 0.230799 0.485155 0.20391 0.187618 0.0453083 0.181065 0.063498 0.065748
0.066873 0.347085 0.672479 0.28344 0.0398856 0.32624 0.0306845 0.443786 0.596917 0.375882 0.365123 0.756968 0.301366 0.241154 0.148656 0.228236 0.065748 0.067998
0.069123 0.556182 0.622651 0.42933 0.0380545 0.202496 0.0253462 0.719279 0.688043 0.572269 0.607287 0.66453 0.47614 0.256056 0.233331 0.225109 0.067998 0.070248
0.071373 0.859605 0.545896 0.651662 0.0877556 0.224989 0.0552882 1.10257 0.577031 0.865125 0.9063 0.571451 0.691017 0.58538 0.400506 0.516751 0.070248 0.072498
0.073623 0.886427 0.907569 0.615792 0.0978745 0.372271 0.0522448 1.13465 0.936601 0.817533 0.76716 1.05349 0.493124 1.58685 0.387634 1.42391 0.072498 0.074748
0.075873 1.1847 1.12094 0.747727 0.12755 0.424475 0.0609205 1.51747 1.19181 1.0038 1.10229 1.33175 0.672134 1.6687 -0.0699492 1.49514 0.074748 0.076998
0.078123 1.47156 1.15957 0.899758 0.225096 0.454062 0.113926 1.86392 1.21544 1.22424 1.3193 1.54619 0.738366 2.3657 -0.448292 2.13766 0.076998 0.079248
0.080373 1.67236 1.86426 0.891602 0.295812 0.576044 0.120953 2.10567 2.12262 1.21366 1.6131 2.02914 0.763483 2.02033 0.295625 1.68158 0.079248 0.081498
0.082904 1.53316 1.85036 0.649282 0.318982 0.55811 0.120024 1.91537 2.01748 0.887341 1.61909 1.95521 0.70839 1.02854 1.08984 0.649966 0.081498 0.084311
0.085998 2.56475 2.1218 1.14986 0.530257 0.836346 0.170794 3.20517 2.21763 1.62919 2.51052 2.36147 1.05527 2.88321 0.250913 2.26513 0.084311 0.087685
