#Observed stellar mass range: 9.4 < log10(M*/Msun) < 9.6
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.223118 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 55715
#Bestfit SF galaxies in bin: 53288
#Bestfit Q galaxies in bin: 2427
#Bestfit central galaxies in bin: 36555
#Bestfit satellite galaxies in bin: 19160
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 4.86041e-07 -3.86516e-07 4.86041e-07 5.08177e-07 -4.8885e-07 5.08177e-07 0 0 0 0 0 0 1.41335e-06 -1.16629e-06 1.41335e-06 0.000000 0.057873
0.059561 1.38986e-05 4.07489e-05 1.33346e-05 1.36244e-05 1.70961e-05 1.34411e-05 1.99194e-05 0.000359724 1.98733e-05 8.46121e-06 1.98799e-05 8.34856e-06 2.42724e-05 6.49508e-05 2.39399e-05 0.057873 0.061248
0.062373 8.80657e-05 0.00015077 8.16298e-05 6.02439e-05 8.95784e-05 5.71122e-05 0.000698931 0.000791228 0.000656373 4.51589e-05 0.000104632 4.22842e-05 0.000169927 0.000260439 0.000159776 0.061248 0.063498
0.064623 0.000289797 0.000379839 0.000252558 0.000151618 0.000237345 0.000139211 0.0033237 0.00282698 0.0030961 0.000132327 0.000259009 0.000121916 0.000590231 0.000945737 0.000526139 0.063498 0.065748
0.066873 0.000759255 0.000639695 0.000654607 0.000515355 0.000554923 0.000463051 0.00611441 0.0016876 0.0056298 0.000365447 0.000337842 0.00032139 0.00151059 0.00135724 0.00132628 0.065748 0.067998
0.069123 0.00133174 0.00120434 0.00112206 0.00111744 0.000918647 0.000954513 0.00603687 0.0044938 0.00518765 0.000703157 0.000708782 0.00061127 0.002531 0.00229807 0.00206855 0.067998 0.070248
0.071373 0.00184756 0.00180003 0.00145801 0.00140864 0.00156382 0.00108811 0.0114848 0.00552536 0.00981844 0.00108464 0.00116373 0.000843009 0.00330314 0.00304907 0.00251689 0.070248 0.072498
0.073623 0.00347426 0.00268404 0.0026022 0.00266921 0.00227424 0.0020117 0.0211501 0.00756618 0.0180635 0.00225075 0.00177006 0.00172932 0.00580857 0.00419265 0.00429461 0.072498 0.074748
0.075873 0.00447828 0.00421084 0.00326693 0.00364782 0.00391623 0.00268 0.0227122 0.0104783 0.0179324 0.00352647 0.00280101 0.00259732 0.00629421 0.00651876 0.00446052 0.074748 0.076998
0.078123 0.00659434 0.00562041 0.00467992 0.0053179 0.0050914 0.00382514 0.0346202 0.0106622 0.0271673 0.00499654 0.0037686 0.00357554 0.00964274 0.0092208 0.00664504 0.076998 0.079248
0.080373 0.0098261 0.00681651 0.00682534 0.00805547 0.00546146 0.00565415 0.0487026 0.0136968 0.037444 0.00739911 0.00503091 0.00503991 0.0144565 0.0109605 0.010162 0.079248 0.081498
0.082904 0.0119025 0.00820841 0.00759897 0.00999242 0.00669125 0.00650881 0.0538402 0.0198579 0.0379147 0.00874363 0.00637182 0.00533402 0.0179292 0.0113162 0.01172 0.081498 0.084311
0.085998 0.0186266 0.0117361 0.0107895 0.0150219 0.009673 0.00905989 0.0977734 0.00676846 0.0693328 0.0143574 0.00913109 0.00843631 0.0267719 0.0143372 0.016016 0.084311 0.087685
0.089373 0.0238324 0.0142554 0.01317 0.0200072 0.0118392 0.0113888 0.107821 0.0102091 0.0731538 0.019162 0.011678 0.0108004 0.032743 0.0183615 0.0177271 0.087685 0.091061
0.092748 0.0306503 0.015159 0.0161647 0.0255993 0.0131551 0.0139487 0.141553 0.002044 0.09884 0.0266435 0.0109044 0.0143426 0.038295 0.0230064 0.0191754 0.091061 0.094435
0.096123 0.0361262 0.017355 0.0169829 0.0313024 0.0148497 0.0151921 0.14204 0.0134613 0.0895066 0.0304545 0.0144962 0.0143322 0.0469472 0.0256898 0.0219839 0.094435 0.097811
0.099498 0.0429732 0.0186758 0.0194648 0.0373591 0.016287 0.0165146 0.166238 0.0137749 0.100228 0.0357627 0.0148521 0.0158713 0.0567299 0.0263974 0.0253073 0.097811 0.101186
0.102873 0.0504115 0.0200413 0.0205993 0.0435647 0.0182542 0.0174956 0.200743 0.00856453 0.120441 0.0429033 0.0163121 0.0174313 0.0647364 0.0260022 0.0259421 0.101186 0.104560
0.106248 0.0576636 0.0202637 0.0215293 0.0494303 0.0180839 0.0184578 0.238437 0.00824537 0.142192 0.0488795 0.0161665 0.0187095 0.0744226 0.026669 0.0263384 0.104560 0.107936
0.109623 0.064316 0.0205924 0.020494 0.0550546 0.019202 0.0182113 0.267661 0.0262581 0.152905 0.0547595 0.0168055 0.0189773 0.0825485 0.0325862 0.0259011 0.107936 0.111310
0.112998 0.0713516 0.0232501 0.0214343 0.0613578 0.021324 0.0192479 0.290779 0.0256258 0.160105 0.0598923 0.0179134 0.0182664 0.0932146 0.0342987 0.0272616 0.111310 0.114686
0.116373 0.0789111 0.0272105 0.0228249 0.0684279 0.0239818 0.019756 0.309083 0.0278152 0.167984 0.0655191 0.0236317 0.0182819 0.104462 0.035301 0.0301409 0.114686 0.118060
0.119748 0.0855871 0.0297607 0.0229294 0.0742652 0.0258779 0.0203685 0.334175 0.0337727 0.176052 0.0706814 0.0241704 0.0188349 0.114025 0.0362136 0.031043 0.118060 0.121435
0.123123 0.0940619 0.0298161 0.0240935 0.0813823 0.0257794 0.0214782 0.37246 0.0417584 0.191916 0.0766912 0.0257595 0.0192733 0.127203 0.0379478 0.0341831 0.121435 0.124811
0.126498 0.102439 0.0315673 0.0248902 0.0889928 0.0279639 0.0216595 0.397665 0.0602731 0.198148 0.0828857 0.0274309 0.0188913 0.139744 0.0423625 0.0385889 0.124811 0.128185
0.129873 0.111206 0.0322978 0.0266041 0.0971879 0.0295761 0.0233621 0.418985 0.0645432 0.211203 0.0895778 0.0285286 0.0204066 0.152469 0.0467105 0.039852 0.128185 0.131561
0.133248 0.121486 0.0347081 0.0284598 0.106514 0.0305424 0.0257685 0.450221 0.0807591 0.222954 0.0976365 0.0271996 0.020731 0.166988 0.0478765 0.0446208 0.131561 0.134935
0.137045 0.13297 0.0369663 0.0325372 0.116508 0.0304765 0.027308 0.494404 0.0756899 0.246396 0.106086 0.0283194 0.0229917 0.18426 0.0497645 0.0513568 0.134935 0.139154
0.141685 0.14918 0.0393506 0.0375937 0.130685 0.0309447 0.0304703 0.555269 0.0870838 0.275357 0.120057 0.0329783 0.0267933 0.204743 0.0536374 0.0555751 0.139154 0.144217
0.146748 0.163134 0.0400773 0.0398329 0.143235 0.0306262 0.0335445 0.600041 0.102739 0.289716 0.132036 0.0366565 0.0298169 0.222465 0.055229 0.0607971 0.144217 0.149279
0.151810 0.178966 0.0428822 0.0435795 0.157102 0.0350039 0.0369412 0.659008 0.0793098 0.315814 0.145228 0.0369725 0.0336027 0.243334 0.059538 0.0633484 0.149279 0.154342
