#Observed stellar mass range: 10.2 < log10(M*/Msun) < 10.4
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.160039 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 49420
#Bestfit SF galaxies in bin: 28368
#Bestfit Q galaxies in bin: 21052
#Bestfit central galaxies in bin: 32614
#Bestfit satellite galaxies in bin: 16806
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 1.83564e-09 1.34341e-05 1.83564e-09 0 4.47128e-08 0 4.3092e-09 2.95889e-05 4.3092e-09 0 1.41051e-07 0 5.3979e-09 2.88613e-05 5.3979e-09 0.000000 0.057873
0.059561 0.000452379 0.000213011 0.000442222 1.7188e-06 3.57469e-05 1.54736e-06 0.00105965 0.00039283 0.00103903 0.000200209 0.000193084 0.000197358 0.000941743 2.87011e-05 0.000933492 0.057873 0.061248
0.062373 0.00110161 0.00031199 0.00105563 3.78844e-05 0.000203956 3.18636e-05 0.002535 0.000562152 0.00244578 0.00033454 0.000264192 0.000314907 0.00259019 0.000374142 0.00252415 0.061248 0.063498
0.064623 0.00188308 0.000771641 0.00173991 0.000200897 0.000857427 0.000151012 0.00414986 0.0009649 0.00390875 0.000925944 0.000866408 0.000857835 0.00374051 0.00161561 0.00347327 0.063498 0.065748
0.066873 0.00251834 0.00216728 0.00217973 0.000775366 0.00134866 0.000630634 0.00486704 0.00268895 0.00435159 0.00186689 0.00179795 0.00168499 0.00378256 0.00309151 0.00333647 0.065748 0.067998
0.069123 0.00447833 0.00337915 0.00370268 0.00186439 0.00214085 0.00151447 0.00800066 0.00540328 0.0067971 0.00434518 0.00241416 0.00377611 0.00473673 0.00546061 0.00382549 0.067998 0.070248
0.071373 0.00731605 0.00363828 0.00596896 0.00355046 0.00191211 0.0029399 0.0123903 0.00615244 0.0102019 0.00722162 0.00269873 0.00613657 0.00749929 0.00638887 0.00586427 0.070248 0.072498
0.073623 0.0104102 0.00452892 0.00800122 0.00568948 0.00224595 0.00452735 0.0167715 0.0111394 0.0129 0.00988295 0.0032884 0.00793862 0.0114334 0.0102699 0.00800578 0.072498 0.074748
0.075873 0.0149759 0.00574982 0.0111237 0.00671171 0.00432339 0.004958 0.0261121 0.00910844 0.0200104 0.013004 0.0036202 0.0103 0.0188026 0.00999281 0.0132511 0.074748 0.076998
0.078123 0.0202919 0.0065373 0.0142506 0.00963344 0.00541678 0.00682194 0.0346544 0.0122135 0.0256725 0.0166244 0.00640369 0.0123333 0.0274091 0.0089254 0.0189632 0.076998 0.079248
0.080373 0.0253946 0.0100774 0.0171635 0.013572 0.00645791 0.00874545 0.0413258 0.0177664 0.0286356 0.0209801 0.00879705 0.0142015 0.0339616 0.013307 0.0218543 0.079248 0.081498
0.082904 0.0289623 0.0110185 0.018491 0.0159982 0.00853647 0.00982406 0.0464318 0.0167408 0.0313317 0.023614 0.0106999 0.0148987 0.0393414 0.014274 0.0250349 0.081498 0.084311
