#Observed stellar mass range: 10.2 < log10(M*/Msun) < 10.4
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.244144 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 14587
#Bestfit SF galaxies in bin: 11824
#Bestfit Q galaxies in bin: 2763
#Bestfit central galaxies in bin: 11763
#Bestfit satellite galaxies in bin: 2824
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0.000277552 1.43617e-05 0.000275508 8.80789e-05 3.79977e-05 8.74679e-05 0.00108838 -0.000216972 0.00108497 0.000308392 -1.13874e-05 0.000306086 0.000149092 7.43709e-05 0.00014909 0.000000 0.057873
0.059561 0.00417243 0.00225273 0.00408417 0.000773336 0.00260986 0.000728133 0.0187186 0.00427957 0.018427 0.00447348 0.00225862 0.00437918 0.00291846 0.00227479 0.0028512 0.057873 0.061248
0.062373 0.00882013 0.00880154 0.00836271 0.00294384 0.0070853 0.00265733 0.0339672 0.0158451 0.0326665 0.00885792 0.00757845 0.00838988 0.00866278 0.0120597 0.00811658 0.061248 0.063498
0.064623 0.0179657 0.0163209 0.0163157 0.00681775 0.0136148 0.00588845 0.0656721 0.0339388 0.061681 0.0172259 0.014971 0.0156342 0.0210471 0.0164742 0.019253 0.063498 0.065748
0.066873 0.032688 0.0180481 0.0290972 0.0164991 0.0169118 0.0144501 0.101967 0.0210531 0.092631 0.0334538 0.0140876 0.0299709 0.0294985 0.025099 0.0261203 0.065748 0.067998
0.069123 0.0392979 0.0239654 0.0336079 0.0235496 0.0191291 0.0200999 0.106691 0.0526951 0.0920527 0.0390549 0.0241131 0.0334667 0.0403104 0.0316152 0.0342801 0.067998 0.070248
0.071373 0.0578517 0.0384029 0.0459033 0.0365451 0.0285099 0.0302015 0.149031 0.0948971 0.117658 0.0535459 0.0356318 0.0421375 0.0757868 0.0392058 0.0629833 0.070248 0.072498
0.073623 0.0834728 0.0465569 0.0581545 0.0600382 0.0290232 0.0465214 0.183759 0.143955 0.124632 0.0781279 0.0467862 0.0544498 0.105736 0.041264 0.0837294 0.072498 0.074748
0.075873 0.11062 0.0660454 0.0714741 0.0819288 0.0392395 0.0596607 0.233399 0.16734 0.144202 0.10524 0.0675343 0.0647439 0.13303 0.0614044 0.0970039 0.074748 0.076998
0.078123 0.142072 0.0749208 0.0901159 0.0975599 0.0605012 0.0640018 0.332555 0.165795 0.209456 0.138681 0.0729102 0.0878435 0.156197 0.0914569 0.10405 0.076998 0.079248
0.080373 0.163986 0.0837043 0.0997284 0.109078 0.0631504 0.0662585 0.398962 0.216915 0.244841 0.161816 0.0785943 0.0982805 0.173024 0.113421 0.104492 0.079248 0.081498
