#Observed stellar mass range: 9.6 < log10(M*/Msun) < 9.8
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.160039 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 76169
#Bestfit SF galaxies in bin: 50707
#Bestfit Q galaxies in bin: 25462
#Bestfit central galaxies in bin: 48718
#Bestfit satellite galaxies in bin: 27451
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0 5.24904e-09 0 0 0 0 0 4.26206e-09 0 0 0 0 0 1.56812e-08 0 0.000000 0.057873
0.059561 5.40416e-06 -5.31005e-08 5.40416e-06 0 0 0 1.61664e-05 -2.33052e-06 1.61664e-05 0 0 0 1.49951e-05 -1.94753e-06 1.49951e-05 0.057873 0.061248
0.062373 3.33589e-05 0 3.33443e-05 0 3.82327e-06 0 9.97924e-05 -3.36587e-05 9.97924e-05 0 5.6289e-06 0 9.25618e-05 -3.21343e-05 9.25618e-05 0.061248 0.063498
0.064623 0.000168048 -1.98714e-05 0.000165436 1.57448e-05 2.0245e-05 1.45919e-05 0.000471355 -0.000147801 0.000467546 1.37107e-05 1.65272e-05 1.30489e-05 0.000441953 -5.7721e-05 0.000436451 0.063498 0.065748
0.066873 0.00017485 0.000134817 0.000161147 2.22062e-05 0.000103828 1.6818e-05 0.000478837 0.000135368 0.000450248 2.8968e-05 3.79677e-05 2.57957e-05 0.00043375 0.000323997 0.000400515 0.065748 0.067998
0.069123 0.000235812 0.000299797 0.000193684 8.00276e-05 0.000159362 6.57755e-05 0.000546052 0.000667887 0.000465382 7.96213e-05 9.1306e-05 6.88474e-05 0.000513007 0.000835219 0.00041865 0.067998 0.070248
0.071373 0.000488014 0.000427564 0.000392779 0.000216563 0.000319783 0.000177235 0.0010286 0.00100011 0.000857328 0.000198329 0.000210646 0.000159048 0.00100212 0.00107609 0.000808641 0.070248 0.072498
0.073623 0.000970175 0.000743105 0.000769685 0.000516423 0.000423772 0.000410221 0.00187381 0.00178835 0.00151196 0.000440486 0.00038077 0.000345806 0.00191023 0.00168233 0.00148431 0.072498 0.074748
0.075873 0.00182384 0.000747241 0.00139852 0.00100143 0.000628171 0.000776215 0.00346165 0.00119434 0.00280504 0.000745194 0.000648572 0.000552801 0.00373813 0.0011884 0.00292173 0.074748 0.076998
0.078123 0.00227298 0.00134292 0.00164446 0.0013205 0.00107677 0.000931412 0.00416983 0.00237742 0.00303927 0.00124068 0.00107778 0.000863133 0.00410503 0.00226155 0.00300167 0.076998 0.079248
0.080373 0.00333687 0.00179431 0.00239782 0.00180765 0.0014372 0.00122649 0.00638228 0.00290342 0.00463286 0.0019228 0.00156308 0.00132699 0.00584645 0.00264399 0.00418761 0.079248 0.081498
0.082904 0.0044027 0.00214136 0.00295572 0.00269349 0.00159212 0.00178064 0.00780656 0.00364176 0.00521885 0.00270465 0.00164661 0.00175834 0.00741628 0.00327228 0.00490604 0.081498 0.084311
0.085998 0.00689097 0.00350021 0.00419441 0.00452691 0.00277459 0.00269317 0.0115989 0.00563857 0.00709669 0.00471454 0.00285205 0.00288359 0.0107535 0.00490987 0.0066021 0.084311 0.087685
