#Observed stellar mass range: 9.4 < log10(M*/Msun) < 9.6
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.244144 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 37089
#Bestfit SF galaxies in bin: 35006
#Bestfit Q galaxies in bin: 2083
#Bestfit central galaxies in bin: 27228
#Bestfit satellite galaxies in bin: 9861
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0 2.14231e-05 0 0 1.9712e-05 0 0 0 0 0 7.49318e-07 0 0 7.33045e-05 0 0.000000 0.057873
0.059561 0.00018018 0.000584842 0.000163454 0.000144337 0.000477976 0.000134487 0.000782555 0.00428728 0.000707241 0.000163112 0.000355836 0.000150313 0.00022731 0.00146229 0.000207103 0.057873 0.061248
0.062373 0.000740736 0.00199953 0.000625067 0.000629955 0.00134123 0.00057574 0.00260247 0.00863665 0.00210337 0.000719178 0.00117889 0.000672216 0.000800261 0.00401203 0.000608807 0.061248 0.063498
0.064623 0.00215275 0.00422204 0.00189164 0.00182233 0.00333148 0.00161996 0.00770576 0.0155061 0.0069163 0.00216508 0.00270695 0.00197523 0.00211871 0.00791396 0.00172979 0.063498 0.065748
0.066873 0.00464782 0.00452558 0.00413825 0.0042594 0.00399666 0.00382178 0.0111753 0.0128112 0.00957647 0.00374888 0.00323664 0.00333497 0.00712994 0.00966216 0.00635581 0.065748 0.067998
0.069123 0.00653121 0.00578594 0.00547338 0.00582918 0.00560298 0.00495084 0.0183293 0.0180951 0.0151995 0.00557227 0.00520221 0.00463631 0.00917905 0.00769769 0.00768636 0.067998 0.070248
0.071373 0.00906697 0.00700187 0.00680986 0.00784291 0.00604008 0.00602595 0.0296381 0.0279329 0.0223484 0.00700097 0.00584968 0.00542072 0.0147716 0.0125211 0.0115428 0.070248 0.072498
0.073623 0.0141762 0.0107025 0.010038 0.0120933 0.00988822 0.00866153 0.0491804 0.0353858 0.0360127 0.010695 0.0102609 0.00739134 0.0237884 0.0163178 0.0176313 0.072498 0.074748
0.075873 0.0198097 0.0160428 0.013784 0.0172422 0.0130853 0.0116966 0.0629578 0.0480719 0.0444939 0.0160216 0.0138539 0.0110674 0.0302692 0.0230251 0.0206913 0.074748 0.076998
0.078123 0.0272066 0.0221365 0.0175184 0.0242012 0.0179754 0.0158639 0.077715 0.0572292 0.0505665 0.0231593 0.0192228 0.0155846 0.038382 0.0315889 0.0239096 0.076998 0.079248
0.080373 0.0351916 0.0250868 0.0220694 0.0308846 0.0235508 0.0202018 0.107573 0.0566442 0.0708401 0.0311345 0.0232837 0.0199398 0.0463939 0.034091 0.0288313 0.079248 0.081498
0.082904 0.0413507 0.0242666 0.025027 0.0361897 0.0250809 0.0226117 0.128085 0.045397 0.0831029 0.03605 0.0236638 0.0212829 0.0559871 0.0281967 0.0336081 0.081498 0.084311
0.085998 0.0606696 0.0360683 0.0347128 0.0530486 0.0319137 0.0304871 0.188745 0.0587195 0.11583 0.0524307 0.0322083 0.0297777 0.0834189 0.0477379 0.0470619 0.084311 0.087685
0.089373 0.0789432 0.0396475 0.0409772 0.0693507 0.0366523 0.0372248 0.24015 0.0522086 0.143574 0.069002 0.0352367 0.0352819 0.106393 0.0522167 0.0553086 0.087685 0.091061
0.092748 0.0972411 0.0436285 0.0469071 0.0851194 0.0431799 0.0418396 0.300953 0.0563115 0.178038 0.0859643 0.0403511 0.0410295 0.128378 0.0585029 0.0629024 0.091061 0.094435
0.096123 0.116491 0.0513243 0.0491337 0.103809 0.0441092 0.0477575 0.329621 0.0763572 0.170364 0.101103 0.0493291 0.0411503 0.158978 0.0615086 0.0712151 0.094435 0.097811
0.099498 0.136858 0.0596638 0.0526751 0.122079 0.0482181 0.0499657 0.38523 0.0617747 0.191047 0.11969 0.0485097 0.0444872 0.184262 0.0663372 0.0753913 0.097811 0.101186
0.102873 0.160741 0.0591831 0.0570456 0.143064 0.0504808 0.0522884 0.457797 0.0737713 0.213896 0.139967 0.0533606 0.0493479 0.218099 0.0788081 0.0790498 0.101186 0.104560
0.106248 0.183869 0.0597851 0.0612265 0.161499 0.0570261 0.055938 0.559806 0.0604001 0.269396 0.159873 0.0542429 0.0514249 0.250125 0.0819599 0.0872607 0.104560 0.107936
0.109623 0.20678 0.0617499 0.0636997 0.181275 0.0613937 0.0573205 0.6354 0.0719277 0.300927 0.180494 0.0570092 0.0546647 0.279359 0.0891915 0.0890899 0.107936 0.111310
0.112998 0.229951 0.0712563 0.0632143 0.204832 0.0615727 0.0602062 0.652098 0.11551 0.267164 0.203012 0.063392 0.0558467 0.304334 0.0972329 0.0842808 0.111310 0.114686
0.116373 0.254049 0.0753065 0.0646859 0.227496 0.0647858 0.0648294 0.700278 0.137268 0.278205 0.222758 0.0699367 0.0582939 0.340449 0.107484 0.0884353 0.114686 0.118060
0.119748 0.278214 0.0822039 0.0689825 0.249888 0.0702428 0.0666413 0.754237 0.172922 0.295315 0.240916 0.0692706 0.0571478 0.381199 0.118344 0.0982616 0.118060 0.121435
0.123123 0.305877 0.0864688 0.077904 0.275444 0.0751386 0.0685421 0.817327 0.19268 0.305306 0.262778 0.0710048 0.0632448 0.424881 0.134296 0.112706 0.121435 0.124811
0.126498 0.338776 0.0901511 0.0865735 0.304463 0.0801896 0.0763589 0.915431 0.204505 0.34653 0.288578 0.0702283 0.0694639 0.477382 0.143324 0.128537 0.124811 0.128185
0.129873 0.37313 0.0996832 0.0904967 0.334901 0.0835544 0.0845773 1.01558 0.20547 0.390612 0.315684 0.0790242 0.077746 0.531748 0.146749 0.148708 0.128185 0.131561
0.133248 0.409743 0.105439 0.101532 0.365834 0.0948489 0.0916728 1.14767 0.191196 0.454002 0.348482 0.0880009 0.0846989 0.578895 0.155666 0.161505 0.131561 0.134935
0.137045 0.443185 0.111011 0.111211 0.398052 0.0988915 0.095964 1.20167 0.232022 0.466925 0.379995 0.0975534 0.0894261 0.617663 0.164463 0.170729 0.134935 0.139154
0.141685 0.491663 0.130601 0.114795 0.444148 0.106741 0.102796 1.29019 0.277616 0.447712 0.423362 0.114873 0.0934447 0.680253 0.186082 0.185425 0.139154 0.144217
0.146748 0.553079 0.135465 0.126293 0.498876 0.112806 0.11571 1.46399 0.265668 0.516482 0.473081 0.116766 0.107375 0.773969 0.192112 0.201402 0.144217 0.149279
0.151810 0.608554 0.147297 0.142993 0.550824 0.120717 0.128301 1.57874 0.388106 0.522717 0.520216 0.12411 0.114564 0.852469 0.23194 0.210073 0.149279 0.154342
0.156873 0.671103 0.167107 0.155187 0.607738 0.136673 0.143843 1.73598 0.381489 0.619164 0.569545 0.140253 0.126948 0.951521 0.238832 0.240133 0.154342 0.159404
0.161935 0.735412 0.178703 0.177576 0.665519 0.148716 0.154554 1.91001 0.370738 0.69241 0.61671 0.154175 0.137126 1.06317 0.245432 0.288056 0.159404 0.164467
0.166998 0.791562 0.193789 0.193903 0.719634 0.154662 0.168752 2.00035 0.393836 0.722378 0.667704 0.163749 0.146904 1.13356 0.258182 0.303592 0.164467 0.169529
0.172060 0.855502 0.200068 0.211319 0.7753 0.159697 0.183996 2.20334 0.332218 0.841174 0.724694 0.159891 0.158946 1.21668 0.282906 0.339619 0.169529 0.174591
0.177123 0.92198 0.201348 0.221838 0.832534 0.160598 0.201873 2.42516 0.367131 0.969864 0.782447 0.168507 0.171785 1.30725 0.305226 0.371694 0.174591 0.179654
0.182185 0.991965 0.218693 0.252007 0.901373 0.169308 0.220221 2.51442 0.369729 0.991908 0.848719 0.187334 0.192183 1.38749 0.305538 0.395491 0.179654 0.184716
0.187248 1.05726 0.255388 0.265304 0.966228 0.182882 0.242261 2.58709 0.378182 1.01433 0.906632 0.217973 0.206997 1.47317 0.339894 0.423535 0.184716 0.189779
0.192310 1.12294 0.266868 0.286588 1.0295 0.18608 0.255801 2.69312 0.358081 1.04618 0.966926 0.228387 0.223865 1.55371 0.350071 0.450817 0.189779 0.194842
0.197373 1.17576 0.272121 0.293803 1.08148 0.205611 0.262637 2.76018 0.439759 1.04629 1.02228 0.234427 0.242262 1.59954 0.369716 0.458457 0.194842 0.199904
0.202435 1.24173 0.279517 0.320324 1.14898 0.23452 0.294007 2.80043 0.578683 1.03743 1.08859 0.240708 0.263774 1.66458 0.392631 0.472777 0.199904 0.204967
0.207498 1.31146 0.282499 0.336208 1.22099 0.252309 0.311353 2.83187 0.606594 1.02748 1.15684 0.252107 0.277555 1.7384 0.406276 0.490175 0.204967 0.210029
0.212560 1.37327 0.30873 0.35469 1.28362 0.267431 0.326536 2.87989 0.662657 1.05193 1.22174 0.268335 0.305377 1.79167 0.422122 0.486911 0.210029 0.215091
0.217623 1.42772 0.319319 0.374167 1.3385 0.285113 0.347162 2.92701 0.655377 1.03378 1.28439 0.279122 0.332829 1.82348 0.440009 0.49203 0.215091 0.220154
