#Observed stellar mass range: 11.6 < log10(M*/Msun) < 11.8
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.244144 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 80
#Bestfit SF galaxies in bin: 54
#Bestfit Q galaxies in bin: 26
#Bestfit central galaxies in bin: 74
#Bestfit satellite galaxies in bin: 6
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0.00994143 0.00347268 0.00994059 0 0 0 0.030589 0.000864753 0.0305874 0.0107475 0.00362573 0.0107466 0 0 0 0.000000 0.057873
0.059561 0.0228158 0.0981682 0.0219709 0.00408443 0.00575752 0.00408443 0.0617195 0.157352 0.0601219 0.023128 0.105668 0.0222033 0.0189653 -0.00483005 0.0189653 0.057873 0.061248
0.062373 0.156219 0.291591 0.149423 0.0339958 0.0695595 0.0328739 0.410066 0.407408 0.399977 0.154154 0.319604 0.146834 0.181682 -0.0758796 0.181682 0.061248 0.063498
0.064623 0.535264 0.422024 0.508899 0.119787 0.160655 0.112422 1.39818 0.427205 1.36095 0.518126 0.492344 0.491126 0.746623 -0.312239 0.746623 0.063498 0.065748
0.066873 1.11501 0.667449 1.04048 0.244545 0.251722 0.222218 2.9229 0.685973 2.78562 1.05883 0.783555 0.980011 1.80796 -0.759238 1.80696 0.065748 0.067998
0.069123 2.18401 0.76948 1.97926 0.402969 0.450929 0.342867 5.8831 0.00939345 5.59252 2.06561 1.08037 1.85711 3.64422 -1.06276 3.64183 0.067998 0.070248
0.071373 3.67089 -0.195686 3.28782 0.449351 0.550229 0.361186 10.3618 -3.71452 9.86738 3.75909 -0.338964 3.3776 2.5831 -0.315824 2.5777 0.070248 0.072498
0.073623 2.17731 1.69753 1.75415 0.783825 0.803538 0.573244 5.07146 1.19623 4.49491 2.0588 1.94239 1.60856 3.63883 -0.583852 3.62128 0.072498 0.074748
0.075873 3.01236 2.29606 2.41942 0.928598 0.819625 0.637382 7.34018 1.60346 6.52448 2.79976 2.77786 2.17217 5.63437 -1.31005 5.58566 0.074748 0.076998
0.078123 4.66061 0.503952 3.9363 1.18113 0.917877 0.78237 11.8872 -2.50422 10.87 4.48564 1.05452 3.78006 6.81861 -1.43336 6.72113 0.076998 0.079248
0.080373 4.69265 1.16457 3.7338 1.41793 0.980998 0.906021 11.494 0.0380413 10.2055 4.61194 1.57275 3.65925 5.68816 -1.59476 5.53584 0.079248 0.081498
0.082904 2.94662 2.82485 1.91989 1.8441 0.768764 1.25292 5.23647 4.90699 3.90778 2.8816 3.10218 1.80406 3.74854 -0.878518 3.48789 0.081498 0.084311
0.085998 5.75224 1.75288 4.20948 2.98498 1.1934 1.99462 11.4996 0.230113 9.70427 6.01777 1.94393 4.41467 2.47726 -0.345256 2.19476 0.084311 0.087685
0.089373 4.08331 5.00877 1.99846 3.9917 1.30044 2.42914 4.27359 8.41831 1.86958 4.29918 4.9803 2.01896 1.42093 0.0326508 1.08297 0.087685 0.091061
0.092748 8.58984 6.78828 4.77546 6.11114 3.74775 3.68224 13.7379 9.17461 9.59571 9.16527 7.10719 5.08532 1.49289 0.498438 1.18179 0.091061 0.094435
0.096123 8.01476 6.7379 3.97556 6.40476 3.85874 3.68646 11.3586 9.12108 6.1051 8.46698 7.77724 4.08889 2.43736 -0.094147 1.99454 0.094435 0.097811
0.099498 8.86315 7.75141 4.07322 7.78728 4.97483 4.64665 11.0977 10.4401 5.47893 9.28757 8.02653 4.23207 3.62869 0 3.0856 0.097811 0.101186
0.102873 9.61485 11.1939 3.88944 7.16014 6.30213 3.48032 14.7131 17.4003 7.37065 9.70386 12.0747 3.76147 8.51703 4.47328 7.67371 0.101186 0.104560
0.106248 12.4576 12.1379 5.5869 10.3759 6.11373 6.24759 16.7813 16.2357 8.91353 12.4866 11.2841 5.44086 12.1003 5.5335 10.8433 0.104560 0.107936
0.109623 15.9614 13.8011 7.25405 12.952 7.4076 7.63641 22.2118 17.5406 11.9391 15.9848 13.5242 7.21149 15.6727 8.30881 13.5938 0.107936 0.111310
0.112998 17.6543 14.7705 7.29247 13.1702 7.73419 7.03648 26.9675 20.8644 13.8899 17.3444 15.396 6.75829 21.4765 11.4849 19.2358 0.111310 0.114686
0.116373 20.3114 17.7002 8.72588 14.0988 11.1668 6.49486 33.2146 30.1 18.3216 19.7764 18.3324 7.52397 26.9097 -0.962881 22.3539 0.114686 0.118060
0.119748 24.004 16.624 10.7253 17.3102 5.92528 8.00353 37.9064 26.17 21.6429 22.0122 19.2201 8.0392 48.5695 -6.72909 42.8264 0.118060 0.121435
