#Observed stellar mass range: 10.4 < log10(M*/Msun) < 10.6
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.223118 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 32594
#Bestfit SF galaxies in bin: 21451
#Bestfit Q galaxies in bin: 11143
#Bestfit central galaxies in bin: 24121
#Bestfit satellite galaxies in bin: 8473
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0.000119622 -2.20708e-06 0.000118785 0 1.00468e-05 0 0.000349902 -5.83005e-05 0.000348121 8.38538e-05 -3.48183e-06 8.34628e-05 0.000221447 -2.64352e-05 0.000220841 0.000000 0.057873
0.059561 0.00291554 0.002323 0.00284386 0.000570092 0.000778591 0.000550157 0.00743069 0.00547946 0.00728578 0.0026228 0.000990783 0.00256313 0.00374891 0.00623063 0.00366148 0.057873 0.061248
0.062373 0.00881342 0.00202466 0.00852098 0.00299062 0.00229967 0.00286042 0.0200227 0.00176801 0.0193552 0.00902524 0.00118902 0.00873727 0.00821043 0.00540373 0.00787463 0.061248 0.063498
0.064623 0.0124897 0.00536731 0.011543 0.003927 0.002879 0.00358986 0.0289734 0.0104251 0.0269774 0.0118513 0.00389678 0.0109456 0.0143071 0.0101679 0.0133589 0.063498 0.065748
0.066873 0.0170045 0.00951052 0.0151695 0.00679854 0.005747 0.00603577 0.0366515 0.017076 0.0330526 0.0170398 0.00949112 0.0153055 0.0169039 0.0118899 0.0151491 0.065748 0.067998
0.069123 0.0240554 0.0142399 0.0205302 0.00935619 0.00604825 0.00795263 0.0523522 0.0219126 0.0453522 0.0239271 0.0102026 0.0202668 0.0244206 0.0182438 0.0211833 0.067998 0.070248
0.071373 0.0346737 0.0196194 0.028681 0.0119439 0.0107536 0.0095942 0.0784301 0.0363451 0.0654033 0.0337569 0.0179452 0.0278185 0.0372836 0.0221646 0.0294091 0.070248 0.072498
0.073623 0.0484731 0.0265545 0.0366911 0.0161908 0.0113985 0.0117207 0.110619 0.0494553 0.0863861 0.0478105 0.0207449 0.0373734 0.0503594 0.0368573 0.0369743 0.072498 0.074748
0.075873 0.0680887 0.0285746 0.0495948 0.0216396 0.0171005 0.0142771 0.157506 0.044428 0.117749 0.0694953 0.0259107 0.0505255 0.0640843 0.0369788 0.0426685 0.074748 0.076998
0.078123 0.0894668 0.0353692 0.061564 0.0306024 0.0242803 0.0198163 0.202784 0.0529262 0.145024 0.0902654 0.0277431 0.06351 0.0871933 0.0563625 0.0568401 0.076998 0.079248
0.080373 0.106254 0.0408416 0.0682834 0.0405217 0.0272903 0.0252638 0.232792 0.0693057 0.155573 0.108354 0.0325595 0.070972 0.100274 0.0610114 0.0599551 0.079248 0.081498
0.082904 0.108747 0.0431484 0.0664961 0.0433929 0.0312978 0.02674 0.234558 0.0668312 0.149421 0.107857 0.0359606 0.0664991 0.111282 0.0535161 0.0646569 0.081498 0.084311
0.085998 0.154667 0.0505581 0.0892319 0.0616674 0.0392371 0.0323598 0.333697 0.0749056 0.204554 0.153979 0.0428199 0.0910296 0.156625 0.0753592 0.0847372 0.084311 0.087685
0.089373 0.189813 0.0577973 0.102498 0.0816796 0.0439806 0.0405766 0.397976 0.091434 0.222401 0.188687 0.0498267 0.105282 0.193016 0.0959591 0.0929134 0.087685 0.091061
0.092748 0.234787 0.0783011 0.115293 0.105138 0.0543039 0.0467316 0.484369 0.13435 0.24911 0.233174 0.0671389 0.117377 0.239378 0.107684 0.108377 0.091061 0.094435
0.096123 0.280677 0.086708 0.125043 0.122801 0.0565932 0.0518336 0.584598 0.158686 0.284112 0.275333 0.074105 0.125328 0.29589 0.132139 0.118704 0.094435 0.097811
0.099498 0.327944 0.106162 0.136206 0.141649 0.0628285 0.052473 0.686575 0.1749 0.316244 0.31749 0.0946187 0.133644 0.357705 0.142657 0.145551 0.097811 0.101186
0.102873 0.390342 0.1124 0.15196 0.165343 0.0695847 0.055326 0.823479 0.222113 0.368452 0.373134 0.0993423 0.149321 0.439329 0.142526 0.171958 0.101186 0.104560
