#Observed stellar mass range: 11.4 < log10(M*/Msun) < 11.6
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.160039 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 2266
#Bestfit SF galaxies in bin: 236
#Bestfit Q galaxies in bin: 2030
#Bestfit central galaxies in bin: 1891
#Bestfit satellite galaxies in bin: 375
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0.00597353 0.00271976 0.00587293 0.011153 -0.00502102 0.011153 0.00537139 0.00368771 0.00526778 0.00663626 0.00250137 0.00653746 0.00263163 0.00238228 0.00263163 0.000000 0.057873
0.059561 0.0591052 0.0983546 0.0563021 0.0741196 -0.0359299 0.0741196 0.0573597 0.105964 0.0542353 0.0526768 0.0721381 0.0501295 0.0915211 0.208641 0.088642 0.057873 0.061248
0.062373 0.152498 0.179284 0.142765 0.122455 -0.0516418 0.122416 0.155991 0.188466 0.144885 0.133689 0.169232 0.126591 0.247343 0.223856 0.233453 0.061248 0.063498
0.064623 0.205911 0.264765 0.181676 0.0711204 0.0385007 0.0700736 0.221582 0.299047 0.193436 0.208553 0.289503 0.186811 0.19259 0.258226 0.158675 0.063498 0.065748
0.066873 0.316543 0.330311 0.263971 0.152232 0.0414557 0.146526 0.335646 0.371907 0.280196 0.327347 0.340324 0.274183 0.262063 0.403048 0.21248 0.065748 0.067998
0.069123 0.49239 0.410461 0.391977 0.281316 0.0104666 0.265083 0.516929 0.404724 0.411221 0.517475 0.399551 0.417137 0.365896 0.504046 0.293121 0.067998 0.070248
0.071373 0.679475 0.533078 0.52221 0.312641 0.161736 0.277521 0.722122 0.536846 0.556679 0.699367 0.496112 0.547273 0.579167 0.723206 0.451106 0.070248 0.072498
0.073623 0.978553 0.591022 0.727319 0.45954 0.113264 0.394329 1.03889 0.577362 0.770927 1.015 0.51274 0.766336 0.794745 0.897284 0.56994 0.072498 0.074748
0.075873 1.19909 0.662173 0.828883 0.622945 0.251284 0.512478 1.26607 0.698657 0.884837 1.24983 0.679942 0.876 0.94326 0.818843 0.628237 0.074748 0.076998
0.078123 1.55514 0.893308 0.998916 0.795475 0.250879 0.61231 1.64345 1.02023 1.07151 1.64582 0.871242 1.07133 1.09788 1.02888 0.612596 0.076998 0.079248
0.080373 1.99248 0.895044 1.14779 0.799708 0.364762 0.561701 2.13114 0.999733 1.26043 2.1077 0.905004 1.257 1.41146 1.20138 0.775123 0.079248 0.081498
0.082904 2.05094 0.857232 1.07001 0.801731 0.412842 0.507172 2.19616 0.876468 1.14796 2.1791 0.818405 1.18372 1.40462 1.2192 0.713382 0.081498 0.084311
0.085998 3.03755 1.26713 1.61655 1.26157 0.424831 0.803827 3.24402 1.3482 1.74911 3.21044 1.13413 1.75289 2.16572 1.70532 1.02561 0.084311 0.087685
0.089373 3.8337 1.47046 1.89045 1.7995 0.337536 1.23232 4.07018 1.71704 2.04079 3.95259 1.28781 2.00335 3.23417 1.99967 1.44659 0.087685 0.091061
0.092748 4.65672 1.71646 2.1699 2.36472 0.148748 1.64685 4.92317 2.06715 2.26881 4.76439 1.46559 2.25949 4.11376 2.86298 1.68067 0.091061 0.094435
0.096123 5.8396 1.81736 2.51025 2.83846 0.36428 1.89209 6.18851 2.11967 2.70457 6.05214 1.54299 2.72474 4.76784 2.92944 1.80854 0.094435 0.097811
0.099498 7.2492 2.05204 3.11136 2.9429 0.894541 1.88945 7.74983 2.24721 3.42664 7.55946 1.78817 3.44565 5.68462 3.70061 1.82522 0.097811 0.101186
0.102873 8.47976 2.65106 3.4131 3.3248 1.33547 2.03921 9.07905 2.89872 3.80068 8.83843 2.15255 3.80786 6.6711 4.89263 1.76338 0.101186 0.104560
0.106248 9.82435 3.10316 3.8001 3.92719 1.58287 2.30358 10.5099 3.46416 4.19628 10.2661 2.62047 4.20702 7.59687 4.88828 2.11787 0.104560 0.107936
0.109623 11.315 4.1222 4.19206 4.92553 1.66447 2.98038 12.0578 4.35913 4.51103 11.7633 3.86375 4.49263 9.05425 4.75811 2.91413 0.107936 0.111310
0.112998 13.1426 3.98686 4.91621 5.76495 1.59308 3.47207 14.0003 4.34128 5.13916 13.6502 3.60245 5.2669 10.5834 5.47972 3.24348 0.111310 0.114686
0.116373 14.1573 4.7957 4.82007 6.30471 2.43996 3.72347 15.0702 5.10989 5.20157 14.4237 4.46169 5.0582 12.8136 6.33865 3.66924 0.114686 0.118060
0.119748 16.0864 6.12515 5.42029 6.837 2.73401 3.80506 17.1617 6.32358 5.87406 16.5052 5.73229 5.806 13.9744 7.17019 3.9051 0.118060 0.121435
0.123123 18.6671 6.59413 6.27342 8.50853 2.43419 4.84549 19.8481 7.39904 6.74348 19.1509 5.84918 6.57348 16.2274 8.57517 4.77805 0.121435 0.124811
0.126498 21.4824 7.57522 6.89219 9.85938 2.95192 5.67149 22.8336 8.00344 7.72204 22.0876 6.70271 7.74582 18.4302 10.5525 5.22487 0.124811 0.128185
0.129873 23.351 9.9187 7.23114 10.8824 3.79561 5.84944 24.8005 10.3196 7.77784 23.9114 8.76193 7.59282 20.5251 13.2897 5.69868 0.128185 0.131561
0.133248 26.4484 10.3762 7.93181 11.4637 5.67906 6.32381 28.1904 11.6064 8.92029 26.6671 9.74263 7.9927 25.3452 11.6504 8.34946 0.131561 0.134935
0.137045 29.4026 11.5403 8.95392 12.2022 5.94592 6.67311 31.4022 12.188 10.2384 29.3529 10.2836 8.95586 29.6529 14.4708 9.73966 0.134935 0.139154
0.141685 32.9684 12.2135 10.104 14.057 7.13136 7.23492 35.167 12.4819 11.3079 33.2158 11.5876 10.1495 31.7208 14.2999 9.19348 0.139154 0.144217
0.146748 37.566 11.9034 12.1037 16.3686 8.95033 7.88812 40.0303 13.1176 13.121 37.7746 11.8261 12.148 36.5141 15.1192 11.1749 0.144217 0.149279
0.151810 41.2878 14.3775 12.6499 18.7608 9.83047 9.5925 43.9068 15.3587 13.8831 42.2726 13.8856 13.1957 36.3223 16.7143 11.0397 0.149279 0.154342
0.156873 45.3939 15.7814 13.3507 21.0635 8.93668 10.5489 48.2224 17.4161 14.2601 46.8241 15.4079 13.6814 38.1816 19.2874 9.8375 0.154342 0.159404
0.161935 50.5631 17.8983 14.6445 24.6262 7.41605 13.2714 53.5785 20.2309 15.934 51.6902 17.3425 15.3024 44.8798 22.3208 12.9201 0.159404 0.164467
0.166998 57.037 18.4824 17.0419 26.8658 8.70185 14.7551 60.5446 20.6614 18.6578 57.4125 18.4996 17.2853 55.1434 19.6758 18.7096 0.164467 0.169529
0.172060 63.3182 20.4642 19.2089 29.8458 9.72103 14.9487 67.2095 23.3305 21.4638 63.314 20.2653 18.8856 63.3391 20.7089 21.2122 0.169529 0.174591
0.177123 71.3825 20.2903 23.1018 33.2499 11.784 18.4643 75.8156 23.2277 25.9388 72.014 19.8546 23.0984 68.198 19.707 21.8279 0.174591 0.179654
0.182185 78.2756 20.2348 25.0402 35.8225 12.3733 20.1962 83.211 25.9036 27.8261 79.5899 20.3286 25.8087 71.648 26.576 21.4937 0.179654 0.184716
0.187248 82.6575 22.4753 26.3342 41.3141 10.741 23.4047 87.4639 27.069 28.9072 83.2727 22.6954 26.2236 79.5552 24.4885 26.709 0.184716 0.189779
0.192310 87.2714 28.1193 27.2335 44.6642 11.4305 24.9461 92.2247 31.2245 29.3246 87.6429 27.1024 27.1365 85.3978 32.8152 26.936 0.189779 0.194842
0.197373 93.907 30.657 28.0212 47.9531 10.377 27.3854 99.2494 33.0129 30.1443 93.7977 28.8778 27.4352 94.4581 34.8785 29.134 0.194842 0.199904
0.202435 99.6494 32.7846 29.0063 47.7843 15.8071 26.7513 105.679 35.4053 31.4684 99.1998 31.1422 28.2135 101.917 35.8716 32.8638 0.199904 0.204967
0.207498 104.377 34.6097 29.4058 51.1255 14.2984 29.366 110.568 38.5573 31.9586 102.977 33.4242 28.4831 111.44 39.003 35.1921 0.204967 0.210029
0.212560 111.543 34.9742 31.1753 53.1532 16.0154 28.9726 118.331 40.8937 34.2443 109.806 33.6661 30.0475 120.297 42.8672 35.8416 0.210029 0.215091
0.217623 115.901 37.6465 32.1338 55.6858 17.337 26.0896 122.902 46.3848 34.7255 113.576 37.8629 30.5843 127.625 43.3609 37.1516 0.215091 0.220154
0.222685 119.59 37.9616 31.4575 57.648 16.9288 27.3452 126.792 47.618 34.3674 117.985 36.9191 30.7316 127.689 45.6429 34.9162 0.220154 0.225217
0.227748 123.037 41.6701 30.0367 61.9665 17.124 25.9499 130.137 48.8295 33.8453 122.076 41.1063 30.0918 127.887 46.4592 33.3638 0.225217 0.230279
0.232810 127.84 42.5599 31.7343 67.171 15.8654 28.2222 134.893 48.4204 33.5587 126.843 42.1223 30.9206 132.867 50.7744 33.294 0.230279 0.235342
0.237873 131.696 44.1604 32.1989 68.634 17.2004 30.4184 139.028 52.6044 34.4421 130.656 41.0038 31.8444 136.944 54.0188 31.9013 0.235342 0.240404
0.242935 136.15 45.1661 32.0894 73.1478 18.7427 32.9364 143.475 51.8416 34.6866 134.716 42.6194 32.4434 143.385 55.5573 33.7757 0.240404 0.245467
0.247998 139.822 44.8318 32.4826 76.7195 19.6578 33.8472 147.158 52.6605 36.0888 138.416 45.0895 32.5266 146.912 55.3329 35.5111 0.245467 0.250529
0.253060 142.98 45.8807 33.9079 80.4902 20.2938 35.2513 150.245 55.9618 38.0145 141.112 44.7245 33.6841 152.401 57.713 36.8462 0.250529 0.255592
0.258123 145.569 47.738 32.9203 81.3832 22.625 34.5899 153.031 55.9036 37.7455 143.3 47.1053 31.7453 157.011 53.7421 40.0295 0.255592 0.260654
0.263185 147.8 47.0677 32.4785 82.117 22.9526 34.0316 155.436 54.7382 37.5459 145.763 46.1788 32.0518 158.072 53.5079 39.2987 0.260654 0.265716
0.268248 150.451 46.4944 33.2635 84.7532 22.7013 37.5573 158.089 56.4399 37.8976 149.232 45.4523 32.8065 156.601 54.3976 36.7227 0.265716 0.270779
0.273310 152.702 45.8818 33.5983 84.3667 22.6604 34.9555 160.647 55.8693 38.5364 151.728 45.1662 33.6351 157.615 53.3427 35.2673 0.270779 0.275842
0.278373 155.935 43.892 35.78 85.7886 22.2555 37.7437 164.09 54.5737 40.959 154.121 43.6467 34.4305 165.08 47.7028 40.048 0.275842 0.280904
0.283435 156.538 45.539 34.5086 80.9039 28.9444 29.3965 165.331 52.9426 41.9539 154.475 44.1653 33.3339 166.938 44.8917 41.416 0.280904 0.285967
0.288498 156.004 45.1921 34.1927 77.4573 32.0667 27.9379 165.135 51.4907 41.1892 153.785 45.5231 33.0607 167.191 47.1145 42.0215 0.285967 0.291029
0.293560 155.754 45.7402 34.5509 78.8026 31.5192 24.0459 164.7 52.4207 41.4942 154.052 46.5036 34.0818 164.339 46.5739 39.4526 0.291029 0.296091
0.298623 156.062 46.6928 35.839 80.4116 29.8672 27.6825 164.857 53.9232 42.0529 154.34 46.8366 34.3134 164.747 42.4371 41.4463 0.296091 0.301154
0.303685 155.265 44.5639 35.74 84.9473 26.8779 32.2423 163.44 53.1551 42.0823 154.052 45.7746 34.8393 161.379 41.3403 42.1736 0.301154 0.306217
0.308748 153.371 43.3315 35.7832 82.4258 28.0458 31.1368 161.619 51.7031 42.2162 152.649 45.3676 34.8434 157.016 36.0821 40.7668 0.306217 0.311279
0.313810 152.432 42.9668 35.4118 83.5668 26.5722 32.7018 160.438 50.9993 42.6958 152.027 44.9171 34.9933 154.471 34.4673 38.8922 0.311279 0.316341
0.318873 149.955 41.6052 35.7243 84.889 26.8194 33.3965 157.52 49.648 42.3443 149.543 43.4761 34.8649 152.033 34.4751 38.2822 0.316341 0.321404
0.323935 146.996 41.5027 34.1646 81.1233 27.7082 31.5392 154.654 48.2911 41.2441 146.645 42.4761 33.4869 148.764 38.3897 35.2617 0.321404 0.326466
0.328997 144.738 38.5644 34.4635 80.3123 28.8423 32.1105 152.228 47.7269 40.2986 144.302 38.8699 34.3335 146.94 38.0584 34.7401 0.326466 0.331528
0.334060 141.716 38.1129 33.8586 79.01 29.2846 31.8437 149.006 44.2859 41.4359 141.731 38.477 33.3268 141.641 38.9443 34.9417 0.331528 0.336591
0.339122 138.063 36.4889 34.1761 73.8857 30.9864 29.0396 145.524 42.3632 41.3222 138.711 37.3132 34.0041 134.793 36.0269 32.7589 0.336591 0.341653
0.344185 134.033 36.653 32.5768 72.3591 31.3243 27.0387 141.203 39.9433 39.2521 134.57 35.0162 32.1688 131.326 33.6791 32.6116 0.341653 0.346716
0.349247 129.087 34.9425 30.8842 69.124 30.4153 23.1697 136.058 39.4359 37.5107 129.891 34.7153 30.9113 125.031 32.1622 30.7748 0.346716 0.351779
0.354310 124.167 33.2117 29.4956 65.8313 30.6013 23.3305 130.949 37.2765 36.2264 125.497 32.9956 30.0682 117.459 36.0744 26.731 0.351779 0.356841
0.359372 119.18 30.2134 28.0502 60.2564 33.4394 18.7329 126.031 34.4912 35.0346 120.1 30.5408 28.6626 114.541 29.0218 27.4105 0.356841 0.361903
0.364435 115.152 28.2779 27.6554 60.8091 28.9819 21.882 121.469 31.83 33.914 116.516 28.6172 28.1204 108.27 24.1892 26.322 0.361903 0.366966
0.369497 110.311 27.0172 25.5886 58.3105 29.4218 21.3785 116.356 30.1942 32.1527 112.036 27.3927 26.3528 101.615 21.8319 23.3366 0.366966 0.372028
0.374560 105.971 24.1699 25.7431 56.1217 29.4828 20.3075 111.766 28.0594 31.2869 107.98 25.1252 26.7088 95.836 17.3797 20.4405 0.372028 0.377091
0.379622 101.19 22.9237 24.038 55.3936 27.4149 22.6279 106.514 27.6755 29.2343 103.848 22.978 25.9526 87.7875 17.4923 15.9457 0.377091 0.382154
0.384685 96.4421 20.3992 23.0531 54.1826 27.3725 21.0199 101.355 25.6182 28.2318 98.9511 19.9341 24.7409 83.79 18.365 15.5984 0.382154 0.387216
0.389747 91.7913 17.9078 21.8234 51.8678 26.6274 22.1039 96.4327 21.6439 26.8899 93.6759 18.3481 22.5989 82.2879 13.7938 16.3586 0.387216 0.392278
0.394810 88.2571 15.531 21.0782 50.9641 24.2433 21.6589 92.5927 20.1842 25.4974 89.8768 16.4668 21.7844 80.0895 11.0602 16.9238 0.392278 0.397341
0.399872 84.0012 14.2485 20.0286 49.4449 22.1906 21.8461 88.0185 18.9161 24.3222 85.3096 15.3794 20.5151 77.4031 10.9228 17.1728 0.397341 0.402404
0.404935 79.6966 12.8366 19.2594 46.2725 21.4327 20.6836 83.5824 16.8863 23.2123 81.181 13.7102 19.8788 72.2116 10.5814 16.1538 0.402404 0.407466
0.409997 75.6846 12.281 18.7063 45.1596 19.2157 19.9981 79.2334 16.0012 22.3876 77.1141 11.7044 19.3097 68.4765 9.40517 15.8448 0.407466 0.412529
0.415060 71.7979 11.9592 17.8802 42.1797 19.615 17.6907 75.2412 14.8995 21.4479 73.0033 11.361 18.3762 65.7194 8.76565 16.482 0.412529 0.417591
0.420122 68.5641 11.2238 17.5832 39.6908 19.4441 17.0901 71.9208 13.6799 20.9235 69.5089 11.1336 17.843 63.8 8.08483 18.0888 0.417591 0.422653
0.425185 64.7832 10.5684 16.5486 37.3076 18.5726 15.8188 67.9774 13.1291 19.9309 65.7519 10.3257 16.5968 59.8979 5.71573 17.1528 0.422653 0.427716
0.430247 61.7204 10.5885 15.3723 34.8468 18.6705 14.765 64.8446 12.3208 18.6492 62.6327 10.4294 15.3534 57.1197 6.46592 15.4793 0.427716 0.432779
0.435310 58.0959 9.61598 14.4826 32.4294 16.7935 13.4552 61.0798 11.1195 17.8175 58.9788 9.63061 14.7032 53.644 4.6774 14.7659 0.432779 0.437841
0.440372 54.1161 9.13827 13.1957 30.0981 16.0268 11.8575 56.9083 11.3187 16.1858 55.2896 9.7349 13.5292 48.1984 6.15482 12.7158 0.437841 0.442903
0.445435 51.0873 9.1511 12.5173 28.1339 15.3253 11.7007 53.7557 10.3295 15.3158 52.1787 9.04981 12.9294 45.5837 5.9503 12.2352 0.442903 0.447966
0.450497 47.7323 8.10771 11.6244 27.5277 13.9269 12.303 50.0812 9.34966 13.8986 48.8697 7.99183 12.2002 41.9969 5.25339 11.1109 0.447966 0.453029
0.455560 44.8868 7.71334 11.0327 26.1206 12.4951 11.7675 47.0684 9.48857 13.1638 45.9733 7.3193 11.5308 39.4078 6.01587 10.393 0.453029 0.458091
0.460622 42.5812 7.01737 10.4514 24.3105 12.455 11.1596 44.7052 8.2998 12.7905 43.4314 7.10499 10.7919 38.2934 4.77214 10.3282 0.458091 0.463154
0.465685 39.9299 6.80902 9.73489 22.2993 11.9824 9.39106 41.9796 8.58733 11.9884 40.724 6.88258 9.88604 35.9256 4.98369 10.1395 0.463154 0.468216
0.470747 37.3711 6.25873 9.10907 21.4011 11.3119 10.4217 39.2278 7.59315 11.133 38.0213 6.55477 9.24514 34.0924 5.09534 9.47152 0.468216 0.473278
0.475810 35.0476 6.19789 8.4094 20.5841 10.0332 9.97903 36.7291 7.28925 10.3162 35.7359 6.26834 8.57884 31.5769 4.42789 8.61343 0.473278 0.478341
0.480872 32.9941 5.57997 8.0923 18.7082 10.3192 8.39628 34.655 6.69842 9.7595 33.6704 5.82252 8.05109 29.5837 4.18726 8.26609 0.478341 0.483404
0.485935 30.9491 5.66045 7.53544 18.5395 9.47542 8.71869 32.3918 6.4305 9.16009 31.7456 5.76324 7.68887 26.9326 4.44217 7.03203 0.483404 0.488466
0.490997 28.7539 5.68984 6.75882 17.2237 8.09638 8.18971 30.0944 6.1298 8.43518 29.5847 6.09458 7.10275 24.5648 4.22916 6.17163 0.488466 0.493528
0.496060 27.2196 5.50264 6.31488 16.896 7.50326 7.67144 28.4198 5.846 7.98714 28.0771 5.64637 6.72585 22.8952 3.75822 5.91046 0.493528 0.498591
0.501122 25.5727 5.39497 6.13349 16.0517 6.7643 7.3755 26.6795 5.86002 7.59749 26.5722 5.66896 6.62121 20.5323 3.96454 4.77944 0.498591 0.503654
0.506185 23.8304 5.23485 5.55229 15.04 6.70057 6.94816 24.8524 5.84982 6.81024 24.8833 5.21601 6.03455 18.5215 4.73472 4.0947 0.503654 0.508716
0.511247 22.2476 4.89581 5.21539 14.2832 5.62616 6.35588 23.1735 5.53555 6.29728 23.2952 5.08688 5.92147 16.9651 3.97863 3.60674 0.508716 0.513778
0.516310 20.8315 4.56 4.93039 13.0948 5.70889 5.34829 21.7309 5.18305 6.1321 21.8722 4.73689 5.57573 15.5833 3.70083 3.28436 0.513778 0.518841
0.521372 19.7279 4.44821 4.78067 11.7458 5.94207 4.50594 20.6559 4.724 5.7718 20.7645 4.33329 5.23922 14.501 3.51556 3.08708 0.518841 0.523903
0.526435 18.6372 4.27909 4.62446 11.0662 5.81993 4.0711 19.5174 4.43247 5.5004 19.5255 4.47025 5.06033 14.1579 2.97373 3.14877 0.523903 0.528966
0.531497 17.5198 4.29632 4.29192 10.5161 5.50118 4.12693 18.334 4.261 5.22277 18.391 4.29003 4.72453 13.1264 3.1346 3.03241 0.528966 0.534029
0.536560 16.4086 4.09697 4.07429 9.96423 5.03942 3.96735 17.1578 4.16028 4.95144 17.2215 4.05616 4.42723 12.3098 2.98255 2.85306 0.534029 0.539091
0.541622 15.403 3.79072 3.82056 9.56817 4.65401 3.98045 16.0813 4.21153 4.44627 16.1869 3.74174 4.05613 11.4498 2.89214 2.61362 0.539091 0.544153
0.546685 14.6621 3.71523 3.62798 9.03333 4.99942 3.92558 15.3165 4.11131 4.29323 15.4597 3.7345 3.91088 10.6402 2.74303 2.42509 0.544153 0.549216
0.551747 13.7383 3.46637 3.43548 8.41629 4.31446 3.74143 14.357 3.82548 3.99348 14.5152 3.53552 3.67511 9.82062 2.67755 2.25638 0.549216 0.554278
0.556810 12.8392 3.46758 2.98255 8.24234 3.8612 3.56905 13.3737 3.63255 3.64027 13.5523 3.24527 3.35106 9.2437 2.48629 2.15355 0.554278 0.559341
0.561872 11.987 3.2528 2.84692 7.9224 3.58779 3.30987 12.4596 3.62957 3.34852 12.59 3.31068 3.04647 8.94654 1.89708 2.20381 0.559341 0.564404
0.566935 11.4837 2.83159 2.84192 7.35255 3.56579 3.15188 11.964 3.17821 3.2727 12.096 2.90048 3.08896 8.39602 1.91604 2.15907 0.564404 0.569466
0.571997 10.7182 2.81617 2.55201 6.84946 3.27047 2.77268 11.168 3.11723 3.00298 11.3011 2.96735 2.76319 7.779 1.80321 1.80432 0.569466 0.574528
0.577060 10.2352 2.78174 2.44228 6.42643 3.35359 2.52396 10.678 2.98156 2.83618 10.7631 2.91952 2.60004 7.57311 1.76858 1.68902 0.574528 0.579592
0.582123 9.79122 2.39538 2.33584 6.2803 2.90522 2.50961 10.1994 2.78381 2.68204 10.2633 2.58027 2.44692 7.41066 1.51472 2.01833 0.579592 0.584654
0.587185 9.23102 2.43514 2.17981 5.95636 3.02723 2.24137 9.61172 2.77181 2.52863 9.66963 2.50702 2.31495 7.01928 1.45127 1.87531 0.584654 0.589717
0.592248 8.75075 2.39346 2.0133 5.69933 2.83509 1.9805 9.1055 2.76207 2.3309 9.19478 2.52446 2.15908 6.51171 1.65439 1.63581 0.589717 0.594779
0.597310 8.31851 2.27965 1.99711 5.66271 2.40616 2.13573 8.62726 2.50215 2.31607 8.77668 2.39161 2.23228 6.00811 1.52367 1.43207 0.594779 0.599841
0.602373 7.90176 2.16597 1.90774 5.43233 2.36012 2.18361 8.18885 2.47158 2.22596 8.36972 2.30041 2.14433 5.54199 1.4141 1.25029 0.599841 0.604904
0.607435 7.52989 2.06885 1.86709 5.29921 2.23219 2.23452 7.78922 2.32321 2.09344 7.95239 2.16269 2.04586 5.39936 1.21845 1.29102 0.604904 0.609967
0.612498 7.17923 1.94329 1.79063 5.22214 1.77659 2.27802 7.40675 2.29325 2.01255 7.6271 1.92344 1.9375 4.92081 1.31497 1.09652 0.609967 0.615029
0.617560 6.83554 1.72331 1.67434 5.01816 2.05905 2.08243 7.04681 2.22635 1.88005 7.2503 1.75864 1.87334 4.74399 1.37491 1.0316 0.615029 0.620092
0.622623 6.51542 1.66852 1.61619 4.67719 2.0022 1.95604 6.72913 2.07973 1.82745 6.89624 1.79381 1.74893 4.59507 1.35273 0.935469 0.620092 0.625154
0.627685 6.18766 1.6123 1.46509 4.30248 1.78981 1.88215 6.40682 1.95102 1.71431 6.56682 1.67506 1.61241 4.27565 1.27508 0.941154 0.625154 0.630216
0.632748 5.85556 1.64231 1.3484 3.90823 1.87326 1.68122 6.08195 1.88749 1.61138 6.22894 1.70254 1.53165 3.97274 1.29299 0.790941 0.630216 0.635279
0.637810 5.53011 1.80068 1.23142 3.75902 1.88532 1.56969 5.736 1.95304 1.44413 5.89223 1.77489 1.34599 3.70403 1.44169 0.645248 0.635279 0.640342
0.642873 5.26044 1.81285 1.15282 3.50128 1.89216 1.46888 5.46495 1.87382 1.37464 5.57234 1.85306 1.27961 3.68763 1.43551 0.758646 0.640342 0.645404
0.647935 4.94152 1.74096 1.03693 3.19731 1.88709 1.18031 5.14429 1.75179 1.23699 5.24065 1.68422 1.20207 3.43308 1.28888 0.630674 0.645404 0.650466
0.652998 4.72673 1.61211 1.00446 3.04732 1.97918 1.07234 4.92197 1.77168 1.2812 5.02276 1.69439 1.07424 3.23394 1.34653 0.593774 0.650466 0.655529
0.658060 4.48985 1.66703 0.892327 2.8613 1.96804 0.968878 4.67918 1.65675 1.1673 4.7746 1.66925 0.990242 3.05391 1.31486 0.589426 0.655529 0.660591
0.663123 4.30375 1.62699 0.822407 2.94183 1.61771 0.978315 4.46208 1.78888 1.08273 4.54264 1.71066 0.897791 3.09908 1.38837 0.569435 0.660591 0.665654
0.668185 4.12303 1.57225 0.768612 2.88264 1.65668 0.900424 4.26723 1.74959 1.02105 4.36393 1.59454 0.85797 2.90826 1.44959 0.465561 0.665654 0.670717
0.673248 3.93107 1.66563 0.728302 2.64314 1.71058 0.801732 4.0808 1.76644 0.918682 4.12609 1.62986 0.795342 2.94766 1.48278 0.525021 0.670717 0.675779
0.678310 3.73694 1.45964 0.713075 2.57056 1.61106 0.835518 3.87254 1.68176 0.905689 3.93494 1.50564 0.783168 2.7385 1.41191 0.429896 0.675779 0.680841
