#Observed stellar mass range: 11.6 < log10(M*/Msun) < 11.8
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.160039 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 727
#Bestfit SF galaxies in bin: 38
#Bestfit Q galaxies in bin: 689
#Bestfit central galaxies in bin: 662
#Bestfit satellite galaxies in bin: 65
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0.0202948 -0.00407024 0.0200959 0 0.000871017 0 0.0214141 -0.00489494 0.0212077 0.0208976 -0.00375427 0.0206938 0.0141555 0.0030923 0.0141555 0.000000 0.057873
0.059561 0.147029 0.124197 0.142096 0.0402281 0.0185801 0.0402281 0.152919 0.119616 0.147807 0.145591 0.118194 0.140861 0.161674 0.0824454 0.159013 0.057873 0.061248
0.062373 0.460647 0.21221 0.442561 0.0864669 0.129514 0.0864669 0.481283 0.229094 0.46163 0.373267 0.255769 0.358207 1.35057 0.0312407 1.32865 0.061248 0.063498
0.064623 0.958173 0.416266 0.908207 0.1861 0.1745 0.18605 1.00076 0.420157 0.946061 0.855744 0.551521 0.804255 2.00139 -0.453483 1.93051 0.063498 0.065748
0.066873 1.35508 0.445274 1.24231 0.67317 0.0865413 0.662809 1.39269 0.43659 1.26991 1.27491 0.517616 1.16801 2.17164 -0.361548 2.04059 0.065748 0.067998
0.069123 2.1229 0.142424 1.85962 1.12343 0 1.08897 2.17802 0.179773 1.90771 2.10736 0.199206 1.85169 2.28114 0.157632 2.05404 0.067998 0.070248
0.071373 2.09546 0.607915 1.67989 1.34085 -0.0823822 1.25707 2.13707 0.582289 1.70145 2.00748 0.674585 1.59267 2.99149 0.211439 2.62156 0.070248 0.072498
0.073623 2.51848 1.11688 1.93044 2.01852 -0.125441 1.88589 2.54605 1.15992 1.90945 2.31083 1.22639 1.74775 4.63323 0.259092 3.9358 0.072498 0.074748
0.075873 3.07218 1.50805 2.24069 2.13147 0.136101 1.87097 3.12407 1.52722 2.18894 2.88046 1.76508 2.07532 5.02482 -0.478879 4.21041 0.074748 0.076998
0.078123 3.7417 1.56248 2.49032 2.40732 0.156955 2.01154 3.81529 1.61256 2.53432 3.44959 1.90908 2.24121 6.71668 -0.772235 5.46862 0.076998 0.079248
0.080373 4.5656 2.03667 2.81384 2.42126 0.621145 1.86965 4.68387 2.24482 2.90708 4.2788 2.26436 2.52437 7.48653 0.10367 5.87141 0.079248 0.081498
0.082904 4.46631 1.84348 2.54237 2.443 0.336201 1.82255 4.5779 1.93861 2.57778 4.23209 1.79804 2.29726 6.85174 0.736766 5.03517 0.081498 0.084311
0.085998 7.2825 2.01013 4.19516 2.79295 1.39132 1.83585 7.53011 1.99384 4.38308 6.94402 2.14474 3.93565 10.7298 1.52897 7.44773 0.084311 0.087685
0.089373 9.10011 2.64221 4.94641 2.51916 1.87157 1.25233 9.46306 2.66708 5.21123 8.87875 2.50476 4.71365 11.3545 3.30238 6.85351 0.087685 0.091061
0.092748 10.6357 3.83371 5.11917 2.95213 2.58744 1.41993 11.0595 3.86288 5.44373 10.1388 3.30155 4.65992 15.6968 4.2004 9.47338 0.091061 0.094435
0.096123 12.2215 4.90079 5.30968 3.54735 3.27023 1.43106 12.6999 4.97321 5.51814 11.7437 4.80315 4.7399 17.0875 1.67796 10.0669 0.094435 0.097811
0.099498 15.0652 4.83263 6.64633 4.63617 4.47572 1.54668 15.6404 4.90034 7.08855 14.5631 5.09733 6.3394 20.1795 3.76053 11.7771 0.097811 0.101186
0.102873 17.7377 6.19093 7.28716 7.92743 3.35069 3.98403 18.2787 6.36022 7.53376 16.7487 6.22832 6.556 27.8099 1.68474 16.4926 0.101186 0.104560
