#Observed stellar mass range: 9.6 < log10(M*/Msun) < 9.8
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.223118 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 47520
#Bestfit SF galaxies in bin: 43952
#Bestfit Q galaxies in bin: 3568
#Bestfit central galaxies in bin: 31322
#Bestfit satellite galaxies in bin: 16198
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 6.98022e-07 9.91607e-07 6.98022e-07 7.54687e-07 -4.40232e-07 7.54687e-07 0 7.31692e-07 0 0 0 0 2.04778e-06 7.91305e-07 2.04778e-06 0.000000 0.057873
0.059561 8.928e-05 7.17827e-05 8.75906e-05 2.01961e-05 4.25184e-05 1.94814e-05 0.000940283 0 0.000936376 0.000108252 -3.78778e-05 0.000107261 5.25947e-05 0.000217319 5.05587e-05 0.057873 0.061248
0.062373 0.000250494 0.00019829 0.000237316 0.000113715 0.000102004 0.000108018 0.00193539 0.000943018 0.00187212 0.000200585 2.35888e-05 0.000196242 0.000347002 0.000478583 0.000322801 0.061248 0.063498
0.064623 0.000936988 0.000543693 0.00086625 0.000496658 0.000367735 0.00045558 0.00636115 0.00139414 0.00601862 0.000483412 0.000200591 0.000450019 0.00181407 0.00139443 0.00166458 0.063498 0.065748
0.066873 0.00118378 0.000775465 0.00105054 0.000680872 0.000479383 0.00060179 0.00737884 0.0034211 0.00674136 0.000860334 0.000705691 0.000756589 0.00180924 0.00125942 0.00157617 0.065748 0.067998
0.069123 0.00210132 0.00143164 0.00177367 0.00128092 0.00106024 0.00107722 0.0122074 0.00568635 0.0107341 0.00163978 0.00125181 0.00137424 0.00299381 0.00216616 0.00249983 0.067998 0.070248
0.071373 0.00372942 0.00200101 0.00293715 0.0023858 0.00170215 0.00190068 0.0202807 0.00624236 0.0171534 0.00273341 0.0019431 0.0021984 0.00565539 0.0027733 0.00462554 0.070248 0.072498
0.073623 0.00567043 0.00412034 0.00421267 0.00404546 0.00324775 0.00314525 0.0256875 0.010112 0.0205245 0.00461025 0.00313982 0.00350676 0.00772049 0.005208 0.0059359 0.072498 0.074748
0.075873 0.00850843 0.00489556 0.00627947 0.00656865 0.00409336 0.00479132 0.0324034 0.0149939 0.0245185 0.00663437 0.0042828 0.00480117 0.0121323 0.00683309 0.00921709 0.074748 0.076998
0.078123 0.0107085 0.00737465 0.00754844 0.00803057 0.00590963 0.00579721 0.0436966 0.0199906 0.0310305 0.00820994 0.00623822 0.00558651 0.01554 0.0110227 0.0111618 0.076998 0.079248
0.080373 0.0142224 0.0107901 0.00943927 0.0107491 0.00805216 0.00749882 0.0570069 0.0304442 0.0392563 0.0107666 0.00757655 0.00694 0.0209049 0.0149032 0.0139242 0.079248 0.081498
0.082904 0.0168929 0.0110366 0.0103921 0.0128978 0.0090162 0.00817902 0.0661066 0.0298375 0.0443364 0.013433 0.00826786 0.00830841 0.0235832 0.0160985 0.0145838 0.081498 0.084311
0.085998 0.0256122 0.0173161 0.0148398 0.020316 0.0124572 0.0123573 0.0908536 0.0482449 0.0562071 0.0213339 0.0124909 0.0118327 0.0338852 0.0229668 0.0195794 0.084311 0.087685
0.089373 0.0320669 0.0204981 0.0170591 0.0256683 0.0147533 0.0144641 0.110888 0.0736602 0.0598547 0.0269911 0.0166407 0.0137965 0.041882 0.0279823 0.0211694 0.087685 0.091061
0.092748 0.0410314 0.0225878 0.019488 0.0331676 0.0161795 0.0179014 0.137901 0.0531688 0.0750859 0.0343559 0.0189909 0.0156463 0.0539396 0.0285781 0.0273469 0.091061 0.094435
0.096123 0.0510855 0.0257417 0.0223828 0.0418986 0.0183423 0.0199323 0.164254 0.0520835 0.0850357 0.0427661 0.0226849 0.0188007 0.0671727 0.0318681 0.0298389 0.094435 0.097811
