#Observed stellar mass range: 10 < log10(M*/Msun) < 10.2
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.244144 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 18138
#Bestfit SF galaxies in bin: 15442
#Bestfit Q galaxies in bin: 2696
#Bestfit central galaxies in bin: 14215
#Bestfit satellite galaxies in bin: 3923
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0.000152674 4.92607e-05 0.000152055 1.25655e-05 3.80859e-05 1.25653e-05 0.000955179 0.000103585 0.000954168 0.000137607 8.67951e-05 0.00013714 0.000207268 4.00593e-05 0.000207268 0.000000 0.057873
0.059561 0.001835 0.00334321 0.00178562 0.00113387 0.00129354 0.00110554 0.00585091 0.0112507 0.00565442 0.00198027 0.00354457 0.00192859 0.00130864 0.00274574 0.00126722 0.057873 0.061248
0.062373 0.00616436 0.00796579 0.00577656 0.00448837 0.00759678 0.00424553 0.015764 0.0175927 0.0149842 0.00629129 0.0087558 0.00591926 0.00570443 0.00560924 0.00545979 0.061248 0.063498
0.064623 0.00929674 0.00986884 0.00844471 0.00484997 0.00633357 0.00438595 0.0347667 0.0278316 0.0323848 0.00934385 0.0103233 0.00849491 0.00912604 0.00978206 0.00836921 0.063498 0.065748
0.066873 0.0232083 0.0187034 0.020912 0.0153358 0.0123738 0.0137931 0.0683002 0.0293307 0.0620663 0.0238226 0.0138298 0.0215636 0.0209825 0.0186193 0.0186804 0.065748 0.067998
0.069123 0.0321548 0.0158464 0.0278756 0.0185569 0.016381 0.0159148 0.11004 0.016628 0.0980655 0.0325103 0.0122507 0.028096 0.0308665 0.0235974 0.0267358 0.067998 0.070248
0.071373 0.0414259 0.0283874 0.033979 0.0264272 0.023508 0.0213382 0.127335 0.0622475 0.106273 0.0401484 0.0267966 0.0325657 0.0460549 0.0364001 0.0380129 0.070248 0.072498
0.073623 0.0662456 0.0238665 0.0517045 0.0375048 0.0272614 0.0274622 0.230865 0.0250445 0.190904 0.0646846 0.0222955 0.0508073 0.0719017 0.0315763 0.0553272 0.072498 0.074748
0.075873 0.0833719 0.032207 0.0608898 0.0510069 0.0368588 0.0345285 0.26875 0.0485464 0.207425 0.0833847 0.0310468 0.0618186 0.0833257 0.0511935 0.0581865 0.074748 0.076998
0.078123 0.113023 0.045498 0.0779801 0.0706709 0.0443289 0.0448107 0.355602 0.0438359 0.265963 0.113606 0.0404419 0.0795388 0.11091 0.0673772 0.075308 0.076998 0.079248
0.080373 0.131879 0.0482736 0.0869097 0.0793131 0.053119 0.0501552 0.432966 0.0244659 0.310266 0.126728 0.0450253 0.0830632 0.150544 0.0607969 0.102982 0.079248 0.081498
0.082904 0.134162 0.0580959 0.0814468 0.0885286 0.0590135 0.052499 0.395537 0.0714835 0.26576 0.129447 0.054287 0.0783958 0.151248 0.0764815 0.092763 0.081498 0.084311
0.085998 0.184329 0.0779593 0.103528 0.125735 0.0697874 0.0674927 0.51994 0.0861823 0.332226 0.178955 0.0747096 0.101433 0.203802 0.0950516 0.11406 0.084311 0.087685
0.089373 0.233937 0.0911692 0.122021 0.162257 0.0810731 0.0841764 0.644503 0.119803 0.380716 0.218282 0.088512 0.113486 0.290662 0.0901474 0.153574 0.087685 0.091061
0.092748 0.278403 0.0881691 0.131771 0.190769 0.0922349 0.0851714 0.780348 0.100839 0.435968 0.256336 0.0979914 0.118163 0.358361 0.0921803 0.179885 0.091061 0.094435
0.096123 0.331854 0.101723 0.141486 0.22641 0.108615 0.0995436 0.935809 0.10241 0.486475 0.304683 0.111776 0.124851 0.430309 0.0973474 0.203216 0.094435 0.097811
0.099498 0.369871 0.119603 0.140644 0.26201 0.111383 0.101977 0.987671 0.244374 0.451369 0.348085 0.113551 0.136044 0.448811 0.164484 0.172093 0.097811 0.101186
0.102873 0.438532 0.150926 0.153905 0.31512 0.126094 0.112737 1.1454 0.318677 0.478433 0.405214 0.1353 0.143411 0.559258 0.173509 0.204318 0.101186 0.104560
0.106248 0.498055 0.18155 0.162541 0.363138 0.141953 0.121262 1.27083 0.391652 0.494911 0.467922 0.16813 0.153 0.607243 0.234909 0.201595 0.104560 0.107936
0.109623 0.586222 0.178267 0.190136 0.438294 0.142933 0.142075 1.43352 0.445763 0.544478 0.544298 0.176814 0.172461 0.738132 0.295411 0.246159 0.107936 0.111310
0.112998 0.663237 0.194832 0.199565 0.493897 0.150025 0.153831 1.63317 0.447132 0.590908 0.61454 0.170178 0.183767 0.83969 0.338593 0.252594 0.111310 0.114686
